L=   1000 trial_f_plus_gS  J_L=-0.051993 (cont -0.014662) | alpha/D=0.044739 (M2/I 0.150738) beta/D=0.082072 (M3/I 0.084599) | gamma=3.82e-03 delta=+0.01714 (d1 +0.00866, d2 +0.00848) eps=+0.05024 | <x,x>/(C logL^a/G(a))=1.14819 vs I=0.99768 | rayleigh=3.9085 lam_max=3.9492871366942985 | chk=0.0e+00
L=   1000 mass_only_f      J_L=-0.062427 (cont -0.021565) | alpha/D=0.051497 (M2/I 0.156506) beta/D=0.069351 (M3/I 0.071929) | gamma=3.44e-03 delta=+0.01709 (d1 +0.00863, d2 +0.00846) eps=+0.04619 | <x,x>/(C logL^a/G(a))=1.53616 vs I=1.34500 | rayleigh=3.7025 lam_max=3.9492871366942985 | chk=0.0e+00
L=   1000 H_equals_1       J_L=-0.075786 (cont -0.033361) | alpha/D=0.051070 (M2/I 0.157045) beta/D=0.057211 (M3/I 0.059594) | gamma=3.46e-03 delta=+0.01796 (d1 +0.00898, d2 +0.00898) eps=+0.04451 | <x,x>/(C logL^a/G(a))=0.97468 vs I=0.87891 | rayleigh=3.4388 lam_max=3.9492871366942985 | chk=0.0e+00
L=  10000 trial_f_plus_gS  J_L=-0.043117 (cont -0.014662) | alpha/D=0.055765 (M2/I 0.150738) beta/D=0.083939 (M3/I 0.084599) | gamma=2.70e-03 delta=+0.01833 (d1 +0.00924, d2 +0.00909) eps=+0.04615 | <x,x>/(C logL^a/G(a))=1.10800 vs I=0.99768 | rayleigh=4.0837 lam_max=4.105867045445442 | chk=1.2e-16
L=  10000 mass_only_f      J_L=-0.052980 (cont -0.021565) | alpha/D=0.062547 (M2/I 0.156506) beta/D=0.070740 (M3/I 0.071929) | gamma=2.44e-03 delta=+0.01822 (d1 +0.00918, d2 +0.00904) eps=+0.04307 | <x,x>/(C logL^a/G(a))=1.48812 vs I=1.34500 | rayleigh=3.8890 lam_max=4.105867045445442 | chk=0.0e+00
L=  10000 H_equals_1       J_L=-0.066075 (cont -0.033361) | alpha/D=0.062212 (M2/I 0.157045) beta/D=0.058303 (M3/I 0.059594) | gamma=2.45e-03 delta=+0.01899 (d1 +0.00950, d2 +0.00950) eps=+0.04197 | <x,x>/(C logL^a/G(a))=0.95062 vs I=0.87891 | rayleigh=3.6305 lam_max=4.105867045445442 | chk=0.0e+00
L= 100000 trial_f_plus_gS  J_L=-0.037630 (cont -0.014662) | alpha/D=0.065266 (M2/I 0.150738) beta/D=0.085125 (M3/I 0.084599) | gamma=1.99e-03 delta=+0.01832 (d1 +0.00922, d2 +0.00910) eps=+0.04168 | <x,x>/(C logL^a/G(a))=1.08317 vs I=0.99768 | rayleigh=4.1920 lam_max=None | chk=0.0e+00
L= 100000 mass_only_f      J_L=-0.047059 (cont -0.021565) | alpha/D=0.071881 (M2/I 0.156506) beta/D=0.071655 (M3/I 0.071929) | gamma=1.81e-03 delta=+0.01820 (d1 +0.00916, d2 +0.00904) eps=+0.03939 | <x,x>/(C logL^a/G(a))=1.45940 vs I=1.34500 | rayleigh=4.0059 lam_max=None | chk=0.0e+00
L= 100000 H_equals_1       J_L=-0.059958 (cont -0.033361) | alpha/D=0.071637 (M2/I 0.157045) beta/D=0.059064 (M3/I 0.059594) | gamma=1.81e-03 delta=+0.01887 (d1 +0.00944, d2 +0.00944) eps=+0.03866 | <x,x>/(C logL^a/G(a))=0.93625 vs I=0.87891 | rayleigh=3.7513 lam_max=None | chk=0.0e+00
L=1000000 trial_f_plus_gS  J_L=-0.033918 (cont -0.014662) | alpha/D=0.073396 (M2/I 0.150738) beta/D=0.085832 (M3/I 0.084599) | gamma=1.51e-03 delta=+0.01775 (d1 +0.00893, d2 +0.00882) eps=+0.03760 | <x,x>/(C logL^a/G(a))=1.06656 vs I=0.99768 | rayleigh=4.2653 lam_max=None | chk=0.0e+00
L=1000000 mass_only_f      J_L=-0.043013 (cont -0.021565) | alpha/D=0.079803 (M2/I 0.156506) beta/D=0.072231 (M3/I 0.071929) | gamma=1.38e-03 delta=+0.01765 (d1 +0.00888, d2 +0.00878) eps=+0.03592 | <x,x>/(C logL^a/G(a))=1.44028 vs I=1.34500 | rayleigh=4.0858 lam_max=None | chk=0.0e+00
L=1000000 H_equals_1       J_L=-0.055763 (cont -0.033361) | alpha/D=0.079645 (M2/I 0.157045) beta/D=0.059566 (M3/I 0.059594) | gamma=1.38e-03 delta=+0.01823 (d1 +0.00912, d2 +0.00912) eps=+0.03541 | <x,x>/(C logL^a/G(a))=0.92668 vs I=0.87891 | rayleigh=3.8341 lam_max=None | chk=0.0e+00
done 7.9s
