L= 3:  N=65: 1.9996843 (pair 0, 0s)  N=129: 1.9999198 (pair 1, 0s)  N=257: 1.9999795 (pair 0, 2s)
L= 4:  N=64: 1.9625368 (pair 2, 0s)  N=128: 1.9628902 (pair 2, 0s)  N=256: 1.9629784 (pair 0, 2s)
L= 5:  N=65: 1.9993670 (pair 0, 0s)  N=129: 1.9998396 (pair 3, 0s)  N=257: 1.9999596 (pair 0, 2s)
L= 6:  N=64: 2.0219520 (pair 0, 0s)  N=128: 2.0225803 (pair 0, 0s)  N=256: 2.0227367 (pair 4, 1s)
L= 7:  N=65: 2.0371354 (pair 5, 0s)  N=129: 2.0378760 (pair 5, 0s)  N=257: 2.0380631 (pair 0, 2s)
L= 8:  N=64: 2.0479037 (pair 6, 0s)  N=128: 2.0488132 (pair 6, 0s)  N=256: 2.0490382 (pair 6, 2s)
L= 9:  N=65: 2.0560026 (pair 0, 0s)  N=129: 2.0570176 (pair 7, 0s)  N=257: 2.0572724 (pair 7, 2s)
L=10:  N=64: 2.0621781 (pair 0, 0s)  N=128: 2.0633768 (pair 0, 0s)  N=256: 2.0636710 (pair 0, 2s)
L=11:  N=65: 2.0671644 (pair 0, 0s)  N=129: 2.0684623 (pair 9, 0s)  N=257: 2.0687854 (pair 0, 2s)
L=12:  N=64: 2.0711007 (pair 10, 0s)  N=128: 2.0725988 (pair 10, 0s)  N=256: 2.0729629 (pair 10, 2s)
L=13:  N=65: 2.0744572 (pair 0, 0s)  N=129: 2.0760490 (pair 11, 0s)  N=257: 2.0764410 (pair 11, 2s)
L=15:  N=65: 2.0795326 (pair 0, 0s)  N=129: 2.0814322 (pair 13, 0s)  N=257: 2.0818939 (pair 13, 2s)
L=17:  N=65: 2.0832151 (pair 0, 0s)  N=129: 2.0854395 (pair 0, 0s)  N=257: 2.0859720 (pair 15, 2s)
L=19:  N=65: 2.0859607 (pair 0, 0s)  N=129: 2.0885304 (pair 17, 0s)  N=257: 2.0891347 (pair 17, 2s)
L=21:  N=65: 2.0880405 (pair 0, 0s)  N=129: 2.0909802 (pair 0, 0s)  N=257: 2.0916576 (pair 0, 2s)
L=25:  N=65: 2.0908236 (pair 23, 0s)  N=129: 2.0945971 (pair 23, 0s)  N=257: 2.0954254 (pair 23, 2s)
L=29:  N=65: 2.0923376 (pair 27, 0s)  N=129: 2.0971128 (pair 27, 0s)  N=257: 2.0980993 (pair 0, 2s)
L=33:  N=65: 2.0929197 (pair 0, 0s)  N=129: 2.0989366 (pair 0, 0s)  N=257: 2.1000904 (pair 31, 2s)
L=41:  N=65: 2.0915886 (pair 0, 0s)  N=129: 2.1013210 (pair 0, 0s)  N=257: 2.1028445 (pair 0, 2s)
