== 3-block N=63: N=63, N^2 D=1.99966394, critical pair index 0 (sites [] -> gap 1)
   tau     g/(pi/N)   -2cot(g/2)/N   B/N      B/(g S*)   drift (theta_a'+theta_b')/2 /N
   0.000   1.000000    -1.2730    0.6361    0.6078     0.3184
   0.280   0.939793    -1.3546    0.6373    0.6034     0.3586
   0.560   0.871546    -1.4607    0.6420    0.5972     0.4094
   0.840   0.792927    -1.6055    0.6529    0.5886     0.4763
   1.120   0.700148    -1.8183    0.6763    0.5767     0.5710
   1.400   0.586155    -2.1720    0.7282    0.5603     0.7219
   1.680   0.434048    -2.9333    0.8701    0.5376     1.0316
   1.960   0.155615    -8.1819    2.0943    0.5057     3.0438
== N=12 winner (8-run, k=2): N=12, N^2 D=2.00001772, critical pair index 0 (sites [] -> gap 1)
   tau     g/(pi/N)   -2cot(g/2)/N   B/N      B/(g S*)   drift (theta_a'+theta_b')/2 /N
   0.000   1.000000    -1.2660    0.7395    0.6136     0.8723
   0.280   0.949904    -1.3335    0.7325    0.6187     0.9179
   0.560   0.892161    -1.4206    0.7209    0.6257     0.9683
   0.840   0.824039    -1.5391    0.7019    0.6360     1.0242
   1.120   0.740937    -1.7130    0.6701    0.6521     1.0864
   1.400   0.634080    -2.0034    0.6141    0.6792     1.1554
   1.680   0.482320    -2.6363    0.5050    0.7314     1.2312
   1.960   0.178748    -7.1218    0.2043    0.8845     1.3120
== 8-run in clock N=28 (far compensation): N=28, N^2 D=2.04248208, critical pair index 0 (sites [] -> gap 1)
   tau     g/(pi/N)   -2cot(g/2)/N   B/N      B/(g S*)   drift (theta_a'+theta_b')/2 /N
   0.000   1.000000    -1.2719    0.7770    0.6219     0.7943
   0.286   0.951652    -1.3367    0.7660    0.6268     0.8404
   0.572   0.895386    -1.4208    0.7502    0.6336     0.8911
   0.858   0.828408    -1.5359    0.7266    0.6437     0.9472
   1.144   0.746036    -1.7057    0.6898    0.6594     1.0091
   1.430   0.639353    -1.9906    0.6282    0.6861     1.0774
   1.716   0.486923    -2.6142    0.5131    0.7376     1.1519
   2.002   0.180618    -7.0491    0.2060    0.8877     1.2307
== 7-run in clock N=63: N=63, N^2 D=2.03707095, critical pair index 0 (sites [] -> gap 1)
   tau     g/(pi/N)   -2cot(g/2)/N   B/N      B/(g S*)   drift (theta_a'+theta_b')/2 /N
   0.000   1.000000    -1.2730    0.7735    0.6213     0.7288
   0.285   0.951372    -1.3381    0.7630    0.6260     0.7746
   0.570   0.894863    -1.4226    0.7478    0.6326     0.8252
   0.856   0.827699    -1.5381    0.7250    0.6425     0.8813
   1.141   0.745221    -1.7083    0.6891    0.6580     0.9435
   1.426   0.638537    -1.9938    0.6285    0.6846     1.0122
   1.711   0.486254    -2.6183    0.5143    0.7360     1.0875
   1.996   0.180375    -7.0588    0.2069    0.8868     1.1672
== dislocation N=32: N=32, N^2 D=1.41964003, critical pair index 1 (sites [3] -> gap 1)
   tau     g/(pi/N)   -2cot(g/2)/N   B/N      B/(g S*)   drift (theta_a'+theta_b')/2 /N
   0.000   1.000000    -1.2722    0.3173    0.7757     0.1586
   0.199   0.936327    -1.3589    0.2971    0.7883     0.1619
   0.397   0.865072    -1.4709    0.2745    0.8027     0.1651
   0.596   0.784038    -1.6232    0.2488    0.8195     0.1683
   0.795   0.689629    -1.8456    0.2188    0.8395     0.1715
   0.994   0.575102    -2.2133    0.1824    0.8645     0.1746
   1.192   0.424197    -3.0011    0.1345    0.8985     0.1778
   1.391   0.151487    -8.4048    0.0480    0.9628     0.1809
== N=20 (L=14,k=3): N=20, N^2 D=2.03923875, critical pair index 0 (sites [] -> gap 1)
   tau     g/(pi/N)   -2cot(g/2)/N   B/N      B/(g S*)   drift (theta_a'+theta_b')/2 /N
   0.000   1.000000    -1.2706    0.7748    0.6213     1.1216
   0.285   0.951650    -1.3354    0.7639    0.6265     1.1681
   0.571   0.895389    -1.4197    0.7480    0.6338     1.2190
   0.856   0.828408    -1.5348    0.7241    0.6443     1.2749
   1.142   0.746010    -1.7048    0.6868    0.6605     1.3365
   1.427   0.639266    -1.9900    0.6246    0.6875     1.4041
   1.713   0.486755    -2.6145    0.5093    0.7392     1.4775
   1.998   0.180487    -7.0540    0.2040    0.8886     1.5550
