  tau      off(s)        min|z_i-z_j|
   0.000    5.2266e-48  0.26105238
   0.050     5.399e-48  0.25885309
   0.100    5.5807e-48  0.25660299
   0.150    5.7678e-48  0.25429975
   0.200    6.6645e-48  0.25194084
   0.250    6.4133e-48  0.24952357
   0.300    6.2877e-48  0.24704503
   0.350    7.9889e-48  0.2445021
   0.400    5.3402e-48  0.2418914
   0.450    4.9125e-48  0.23920926
   0.500     6.134e-48  0.23645173
   0.550    1.2563e-47  0.23361447
   0.600    9.3894e-48  0.2306928
   0.650    9.3827e-48  0.22768155
   0.700     9.785e-48  0.2245751
   0.750    8.8656e-48  0.22136724
   0.800    7.4169e-48  0.21805112
   0.850    6.5336e-48  0.21461916
   0.900    1.1775e-47  0.21106292
   0.950    1.1906e-47  0.20737301
   1.000    9.9106e-48  0.20353885
   1.050    1.3762e-47  0.19954855
   1.100    1.0533e-47  0.19538861
   1.150     2.539e-47  0.19104365
   1.200    1.8687e-47  0.18649599
   1.250    1.0015e-47  0.18172517
   1.300    1.7221e-47  0.17670734
   1.350    1.4624e-47  0.17141435
   1.400    1.3679e-47  0.16581265
   1.450    1.7152e-47  0.15986174
   1.500    3.1978e-47  0.15351191
   1.550    2.6264e-47  0.14670105
   1.600    2.9873e-47  0.13934978
   1.650    1.9336e-47  0.13135384
   1.700    3.0344e-47  0.12257131
   1.750    2.8063e-47  0.11279991
   1.800    4.0728e-47  0.10173256
   1.850    3.7228e-47  0.088858267
   1.900    3.1203e-47  0.073192831
   1.950    3.5367e-47  0.052227892
   2.000    1.5562e-45  0.00099218982
   2.050      0.026953  0.053199511
   2.100      0.038713  0.075983305
   2.150      0.048107  0.094006412
   2.200      0.056344  0.10968359
   2.250      0.063893  0.12394808
   2.300      0.070993  0.13727963
   2.350       0.07779  0.14996516
   2.400       0.08438  0.16219372
   2.450      0.090831  0.17409859
   2.500      0.097194  0.18577844
   2.550       0.10351  0.19730903
   2.600       0.10981  0.20875006
Method A (polyroots, dps=50): N=12 gaps=[1, 1, 1, 1, 1, 1, 1, 2, 2, 9, 2, 2]  N^2 D = 2.0000177200493146826   [7.0s]
  root angles just after collision (units pi/N): ['1.18276', '1.18276', '2.2014', '3.06444', '3.93556', '4.7986', '5.81724', '5.81724', '8.55644', '10.4756', '20.5244', '22.4436']
Method B (moving-bracket tracker): N^2 D = 0.00073092433861460822328  colliding pair index 3 (zeros 3.00002,3.99998 in units pi/N)   [6.1s]
