== polyroots section: mpmath polyroots ground truth, N=64, k=15 (L=34)
  off(2.0)=1.8e-34  off(2.2)=0.00741  [4s]
  bisect 0: [2.0, 2.1]  [9s]
  bisect 1: [2.05, 2.1]  [11s]
  bisect 2: [2.075, 2.1]  [13s]
  bisect 3: [2.0875, 2.1]  [15s]
  bisect 4: [2.0875, 2.09375]  [17s]
  bisect 5: [2.090625, 2.09375]  [19s]
  bisect 6: [2.0921875, 2.09375]  [21s]
  bisect 7: [2.0921875, 2.09296875]  [23s]
  bisect 8: [2.092578125, 2.09296875]  [25s]
  bisect 9: [2.092578125, 2.0927734375]  [26s]
  bisect 10: [2.092578125, 2.09267578125]  [28s]
  bisect 11: [2.092578125, 2.09262695312]  [30s]
  bisect 12: [2.092578125, 2.09260253906]  [32s]
  bisect 13: [2.092578125, 2.09259033203]  [34s]
  bisect 14: [2.09258422852, 2.09259033203]  [36s]
  bisect 15: [2.09258728027, 2.09259033203]  [38s]
  bisect 16: [2.09258880615, 2.09259033203]  [39s]
  bisect 17: [2.09258880615, 2.09258956909]  [41s]
  bisect 18: [2.09258918762, 2.09258956909]  [43s]
  bisect 19: [2.09258918762, 2.09258937836]  [45s]
  bisect 20: [2.09258918762, 2.09258928299]  [47s]
  bisect 21: [2.09258923531, 2.09258928299]  [49s]
  bisect 22: [2.09258925915, 2.09258928299]  [51s]
  bisect 23: [2.09258927107, 2.09258928299]  [53s]
  bisect 24: [2.09258927703, 2.09258928299]  [55s]
  bisect 25: [2.09258927703, 2.09258928001]  [57s]
  bisect 26: [2.09258927703, 2.09258927852]  [59s]
  bisect 27: [2.09258927703, 2.09258927777]  [60s]
  bisect 28: [2.0925892774, 2.09258927777]  [62s]
  bisect 29: [2.09258927759, 2.09258927777]  [64s]
  bisect 30: [2.09258927759, 2.09258927768]  [66s]
  ==> N^2 D (polyroots, N=64, k=15) = 2.09258927763   (ODE value in the doc: 2.0925893)
